age,state,state.fips,origin,hiv,homeless.past.year,n,n.tx.comp.12mo,n.elig.tx.comp.12mo
0-4 years,New Mexico,35,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,New York,36,US - Born,Negative,No,227,174,196
0-4 years,New York,36,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New York,36,US - Born,Negative,Not Reported,27,21,24
0-4 years,New York,36,US - Born,Positive,No,15,6,11
0-4 years,New York,36,US - Born,Positive,Not Reported,5,1,3
0-4 years,New York,36,US - Born,Not Reported,No,320,263,300
0-4 years,New York,36,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New York,36,US - Born,Not Reported,Not Reported,65,46,62
0-4 years,New York,36,Foreign - Born,Negative,No,36,27,27
0-4 years,New York,36,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New York,36,Foreign - Born,Negative,Not Reported,8,6,8
0-4 years,New York,36,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,New York,36,Foreign - Born,Not Reported,No,53,45,48
0-4 years,New York,36,Foreign - Born,Not Reported,Not Reported,14,12,14
0-4 years,New York,36,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,North Carolina,37,US - Born,Negative,No,88,48,54
0-4 years,North Carolina,37,US - Born,Negative,Yes,Suppressed,Not Applicable,Not Applicable
0-4 years,North Carolina,37,US - Born,Not Reported,No,124,99,109
0-4 years,North Carolina,37,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,North Carolina,37,Foreign - Born,Negative,No,15,7,9
0-4 years,North Carolina,37,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,North Carolina,37,Foreign - Born,Not Reported,No,8,7,8
0-4 years,North Dakota,38,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Ohio,39,US - Born,Negative,No,22,9,12
0-4 years,Ohio,39,US - Born,Not Reported,No,76,58,68
0-4 years,Ohio,39,Foreign - Born,Negative,No,10,4,4
0-4 years,Ohio,39,Foreign - Born,Positive,Yes,Suppressed,Not Applicable,Not Applicable
0-4 years,Ohio,39,Foreign - Born,Not Reported,No,7,3,6
0-4 years,Ohio,39,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Oklahoma,40,US - Born,Negative,No,26,18,21
0-4 years,Oklahoma,40,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Oklahoma,40,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Oklahoma,40,US - Born,Not Reported,No,151,106,127
0-4 years,Oklahoma,40,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Oklahoma,40,US - Born,Not Reported,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,Oklahoma,40,Foreign - Born,Not Reported,No,7,5,6
0-4 years,Oklahoma,40,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Oregon,41,US - Born,Negative,No,12,10,10
0-4 years,Oregon,41,US - Born,Not Reported,No,44,34,41
0-4 years,Oregon,41,Foreign - Born,Negative,No,5,3,3
0-4 years,Oregon,41,Foreign - Born,Not Reported,No,10,9,9
0-4 years,Pennsylvania,42,US - Born,Negative,No,33,17,19
0-4 years,Pennsylvania,42,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,US - Born,Negative,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,US - Born,Positive,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,Pennsylvania,42,US - Born,Not Reported,No,122,87,106
0-4 years,Pennsylvania,42,US - Born,Not Reported,Yes,9,7,9
0-4 years,Pennsylvania,42,US - Born,Not Reported,Not Reported,14,12,14
0-4 years,Pennsylvania,42,Foreign - Born,Negative,No,12,3,3
0-4 years,Pennsylvania,42,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,Foreign - Born,Not Reported,No,32,21,25
0-4 years,Pennsylvania,42,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Pennsylvania,42,Not Reported,Negative,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Pennsylvania,42,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Rhode Island,44,US - Born,Negative,No,16,13,13
0-4 years,Rhode Island,44,US - Born,Not Reported,No,26,21,23
0-4 years,Rhode Island,44,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Rhode Island,44,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Rhode Island,44,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,South Carolina,45,US - Born,Negative,No,32,20,25
0-4 years,South Carolina,45,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,South Carolina,45,US - Born,Not Reported,No,136,108,118
0-4 years,South Carolina,45,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,South Carolina,45,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,South Carolina,45,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,South Carolina,45,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,South Dakota,46,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,South Dakota,46,US - Born,Not Reported,No,12,6,7
0-4 years,Tennessee,47,US - Born,Negative,No,56,35,37
0-4 years,Tennessee,47,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Tennessee,47,US - Born,Not Reported,No,125,113,115
0-4 years,Tennessee,47,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Tennessee,47,Foreign - Born,Negative,No,8,7,7
0-4 years,Tennessee,47,Foreign - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Tennessee,47,Foreign - Born,Not Reported,No,8,6,7
0-4 years,Texas,48,US - Born,Negative,No,183,106,121
0-4 years,Texas,48,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Texas,48,US - Born,Positive,No,11,7,10
0-4 years,Texas,48,US - Born,Not Reported,No,961,674,774
0-4 years,Texas,48,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Texas,48,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Texas,48,Foreign - Born,Negative,No,13,9,9
0-4 years,Texas,48,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Texas,48,Foreign - Born,Not Reported,No,107,77,89
0-4 years,Texas,48,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Texas,48,Not Reported,Not Reported,No,12,9,11
0-4 years,Utah,49,US - Born,Negative,No,5,5,5
0-4 years,Utah,49,US - Born,Not Reported,No,13,11,12
0-4 years,Utah,49,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Utah,49,Foreign - Born,Not Reported,No,8,5,7
0-4 years,Vermont,50,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Virginia,51,US - Born,Negative,No,33,24,30
0-4 years,Virginia,51,US - Born,Not Reported,No,85,63,69
0-4 years,Virginia,51,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Virginia,51,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Virginia,51,Foreign - Born,Negative,No,8,5,6
0-4 years,Virginia,51,Foreign - Born,Not Reported,No,19,14,18
0-4 years,Washington,53,US - Born,Negative,No,30,10,11
0-4 years,Washington,53,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Washington,53,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Washington,53,US - Born,Not Reported,No,76,59,67
0-4 years,Washington,53,Foreign - Born,Negative,No,17,12,14
0-4 years,Washington,53,Foreign - Born,Not Reported,No,44,42,42
0-4 years,West Virginia,54,US - Born,Not Reported,No,5,3,3
0-4 years,Wisconsin,55,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Wisconsin,55,US - Born,Not Reported,No,28,21,22
0-4 years,Wisconsin,55,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Wisconsin,55,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Wisconsin,55,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Wisconsin,55,Foreign - Born,Not Reported,No,11,9,10
5-14 years,Alabama,1,US - Born,Negative,No,23,19,20
5-14 years,Alabama,1,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
5-14 years,Alabama,1,US - Born,Not Reported,No,68,59,63
5-14 years,Alabama,1,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
5-14 years,Alabama,1,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
5-14 years,Alabama,1,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
5-14 years,Alaska,2,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
5-14 years,Alaska,2,US - Born,Not Reported,No,51,48,49
5-14 years,Alaska,2,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
5-14 years,Alaska,2,Foreign - Born,Not Reported,No,6,4,5
5-14 years,Arizona,4,US - Born,Negative,No,22,16,18
5-14 years,Arizona,4,US - Born,Not Reported,No,62,50,55
5-14 years,Arizona,4,Foreign - Born,Negative,No,42,32,35
5-14 years,Arizona,4,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
5-14 years,Arizona,4,Foreign - Born,Not Reported,No,46,40,44
5-14 years,Arizona,4,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
5-14 years,Arizona,4,Not Reported,Negative,No,Suppressed,Suppressed,Suppressed
5-14 years,Arkansas,5,US - Born,Negative,No,23,17,19
5-14 years,Arkansas,5,US - Born,Not Reported,No,49,45,47
5-14 years,Arkansas,5,Foreign - Born,Negative,No,13,8,11
5-14 years,Arkansas,5,Foreign - Born,Not Reported,No,14,10,14
5-14 years,Arkansas,5,Not Reported,Not Reported,No,5,4,5
5-14 years,California,6,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
5-14 years,California,6,US - Born,Not Reported,No,834,640,732
5-14 years,California,6,US - Born,Not Reported,Yes,9,6,8
5-14 years,California,6,US - Born,Not Reported,Not Reported,37,33,36
5-14 years,California,6,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
5-14 years,California,6,Foreign - Born,Positive,Not Reported,Suppressed,Suppressed,Suppressed
5-14 years,California,6,Foreign - Born,Not Reported,No,834,653,771
5-14 years,California,6,Foreign - Born,Not Reported,Yes,5,5,5
5-14 years,California,6,Foreign - Born,Not Reported,Not Reported,38,26,37
